Subject,Test Type,Mean,Median,Standard Deviation,Minimum,Maximum,Normality
X03004,1,313.3460710014282,291.0003030495533,73.13566238059691,209.50021817485023,655.5006826425505,No
X03004,2,334.08858321607795,324.750338197053,68.26991529090067,224.5002337959612,617.5006430690693,No
X03004,3,301.9846894887627,292.7503048720163,66.09585842390887,212.50022129907242,565.0005883951808,No
X03004,4,299.60783889521593,283.00029471829407,70.13304387995872,204.5002129678132,611.5006368206249,No
X05398,1,336.5860648085677,317.0003301261457,77.75300029119614,230.0002395237019,684.500712843365,No
X05398,2,343.7311271945358,326.00033949881225,76.93392167396179,221.50023067173902,685.0007133640687,No
X05398,3,288.2845107476258,273.50028482492377,71.2349951238072,201.00020932288732,536.0005581943662,No
X05398,4,264.9202758896482,248.0002582690351,58.01316468204208,201.50020984359102,590.0006144303658,No
X13844,1,474.7133656566256,472.5004920649963,68.94341726259218,324.50033793670116,648.000674831995,Yes
X13844,2,441.4385128142001,423.00044051533,69.90019536973776,312.00032491910866,623.00064879681,No
X13844,3,399.51827320370984,401.7504183854228,77.81831960029639,237.0002468135537,602.0006269272545,No
X13844,4,345.2271636454597,338.00035199570107,91.96027934772138,210.50021921625762,681.0007091984392,No
X33332,1,407.42147692287796,395.5004118766266,74.17513035836225,280.0002915940719,635.5006618144024,No
X33332,2,352.16036674202996,345.50035980625654,55.21576541202473,235.5002452514426,531.0005529873292,No
X33332,3,337.2479240276519,336.0003499128863,49.40156049338556,202.00021036429473,535.0005571529588,No
X33332,4,303.0717441922569,287.0002988839237,85.12880272350746,207.00021557133172,578.5006024541807,No
X38547,1,465.4409609036321,466.75048607690377,111.15226385961921,203.50021192640583,689.500718050402,Yes
X38547,2,355.15708628074293,340.5003545992196,99.17924201660865,202.00021036429473,618.000643589773,No
X38547,3,390.27604746158147,394.50041083521916,114.72039374548179,200.50020880218364,633.000659210884,No
X38547,4,405.43311452829823,379.50039521410815,121.7823263596298,209.50021817485023,668.5006961808466,No
X42448,1,372.1337208757403,356.75037152208984,127.33638475696266,201.50020984359102,677.0007050328095,No
X42448,2,388.7079519727272,385.2504012022007,80.96192799213071,235.5002452514426,624.0006498382173,Yes
X42448,3,358.72418310143917,344.5003587648492,104.58122304362341,200.50020880218364,689.0007175296984,No
X42448,4,359.7337079622886,314.5003275226272,143.2192431588785,202.5002108849984,697.0007258609576,No
X44909,1,456.43340216189574,424.75044233779295,97.20988702021496,263.5002744108498,684.500712843365,No
X44909,2,470.06898268349204,449.0004675919224,99.00440337946493,318.5003316882568,695.5007242988464,No
X44909,3,428.3782238935654,395.25041161627473,105.59178448611729,258.0002686831091,692.0007206539206,No
X44909,4,412.5918930904371,377.5003931312933,124.87072471793692,201.50020984359102,698.0007269023649,No
X85446,1,413.0604301637405,400.0004165629598,64.78267624244444,244.5002546241092,691.0007196125131,No
X85446,2,357.82537264160266,338.50035251640475,98.05275059814646,211.00021973696133,666.0006935773281,No
X85446,3,340.55647710664545,321.7503350728308,82.63154849296481,202.5002108849984,624.0006498382173,No
X85446,4,344.27563942970147,331.0003447058493,85.66762699555336,200.50020880218364,594.0006185959953,No
X91583,1,365.49506147992895,346.7503611080158,91.59423643215993,221.50023067173902,645.5006722284764,No
X91583,2,273.3666213193892,266.0002770143683,54.370253169986746,200.50020880218364,485.0005050825888,No
X91583,3,300.1074553909421,298.5003108601088,77.93782614025609,200.50020880218364,524.0005456974774,No
X91583,4,318.13076608599755,298.5003108601088,108.5271634181218,202.00021036429473,688.5007170089947,No
X98504,1,335.43338503636136,331.7503454865458,59.91106392780441,225.00023431666492,620.5006461919455,No
X98504,2,333.44231153428655,325.00033845705514,66.24685952988533,210.00021869509843,587.0006113061436,No
X98504,3,286.7650045210182,276.00028742844233,79.37329225462102,202.00021036429473,495.5005160173665,No
X98504,4,262.12527297848953,274.7502861260871,37.32023279582631,200.50020880174873,309.50032231491883,Yes

Subject,Heterotopic over homotopic ratio
X03004,1.0775410324188774
X05398,1.2206703910614527
X13844,1.2212594094969842
X33332,1.1620076188289634
X38547,1.0508862069550562
X42448,1.0611244157347992
X44909,1.0998049671978134
X85446,1.125950909942982
X91583,1.0085263212077091
X98504,1.192983986661886
