Subject,Run,Mean,Median,Standard Deviation,Minimum,Maximum
Jul_13,1,376.2953968141762,360.73680000845343,78.44201471486643,229.46299996692687,654.5537000056356
Jul_13,2,318.1638616089393,308.08664998039603,50.47770810161164,211.09939995221794,448.5339999664575
X02299,1,325.8249819650447,315.7127001322806,60.658201323347555,216.640800004825,583.6471000220627
X02299,2,322.739632197996,313.51160001941025,62.254303391056546,208.38460000231862,648.7628999166191
X03004,1,376.2953968141762,360.73680000845343,78.44201471486643,229.46299996692687,654.5537000056356
X03004,2,318.1638616089393,308.08664998039603,50.47770810161164,211.09939995221794,448.5339999664575
X05398,1,337.9127692052002,323.7470001913607,79.42481762323426,205.65360016189516,660.5163000058383
X05398,2,327.1064987151414,314.33755008038133,72.65005456955541,209.88620002754033,607.9901999328285
X13844,1,566.2316486751661,565.1994498912245,71.75744250695382,359.9403998814523,692.9134000092745
X13844,2,510.3133865363466,501.960749970749,77.16941237667608,330.0124001689255,696.9979000277817
x24208,1,437.9679000012402,437.9679000012402,15.485899999475805,422.4820000017644,453.453800000716
X24208,2,nan,nan,nan,nan,nan
X33332,1,523.9834486717045,517.4524000613019,69.81008414183282,323.8048000494018,680.5942000355572
X33332,2,441.89709515353155,430.5778000270948,62.32878011217958,336.04289998766035,658.4590999409556
X37945,1,436.2641308755753,428.49800000021787,89.68963801672979,212.67409999927622,678.479299999708
X37945,2,425.4870339286104,410.4402499997377,103.03257133683168,215.22750000076485,683.1488000007084
X38547,1,425.5443235575596,420.45834998134524,84.20915804520688,230.91539996676147,688.5480999480933
X38547,2,392.34391035430053,378.66719998419285,99.86275993022932,218.17749994806945,676.238999934867
X42448,1,433.8221778523424,422.8578000002017,81.19902019604649,303.8712999996278,678.238599999986
X42448,2,398.22306060601807,371.5513999995892,78.39205142544515,274.2798999997831,602.1994000002451
X44909,1,491.1138036320071,472.5110500003211,90.86755030157914,302.27230000309646,688.1203000666574
X44909,2,483.50515447053453,468.6088999733329,96.4128694290999,308.4092999342829,694.3307999754325
X48739,1,390.1117939922695,385.21330000367016,78.04184589303549,238.3210000116378,663.6656998889521
X48739,2,353.36438565130305,338.63539999583736,78.43717115063338,220.51270003430545,673.6971999052912
X51231,1,522.8474009623842,524.3699999991804,103.49866958343092,285.57990002445877,698.3304000459611
X51231,2,473.0176906341512,457.4055998818949,96.94702154482897,281.8547999486327,684.9466001149267
X55579,1,366.8515164502372,357.5523000017711,62.23068762634819,248.4268999996857,627.3767999991833
X55579,2,377.81678762893506,365.89585000001534,63.707216808643345,258.728599999813,650.2878999999666
X58086,1,439.4577588173835,425.1109999604523,78.61622328191334,290.06599995773286,659.1283000307158
X58086,2,382.2408974556771,380.58799994178116,72.56455180297644,280.6153000565246,610.6261999811977
X61122,1,403.4146267918504,396.8096000608057,85.94443466769155,249.00250020436943,661.8780000135303
X61122,2,383.309337965407,366.452099988237,83.74290226854623,246.3302998803556,650.3346001263708
X64181,1,344.4173171608649,333.8468000292778,67.9985645444229,206.93920040503144,584.7872998565435
X64181,2,325.48198340302133,312.1654000133276,74.88192831017986,205.12339984998107,659.0927997604012
X70786,1,387.62135230892994,373.96120000630617,83.71822797393511,203.15980003215373,681.4033000264317
X70786,2,389.4098073679713,374.29840001277626,98.42779938699016,213.43280002474785,697.5430999882519
X72350,1,408.9670303420952,397.15364994481206,78.94694808188127,240.5163999646902,698.6811999231577
X72350,2,391.3857136667969,375.74865005444735,91.03676572202463,231.12690006382763,698.2066999189556
X85446,1,416.33670087841375,399.37974989879876,85.5337398107416,252.72969994693995,688.3491999469697
X85446,2,402.41617210491455,395.60350007377565,78.94601674524128,210.0884998217225,684.1017999686301
X86768,1,333.71702151693296,321.9712000573054,68.67681453565248,218.5324999736622,624.8996000504121
X87678,2,326.7505119123714,311.7043999955058,75.58447109512026,205.9542000060901,630.4399999789894
X91583,1,350.96355927507585,354.570799972862,91.73293992525645,202.86329998634756,659.7126999404281
X91583,2,342.7356205697942,338.23320001829416,93.87548022436377,203.05869996082038,637.0593999745324
X98504,1,342.61937296345764,331.3794999849051,61.40862437219346,218.78540003672242,576.1076998896897
X98504,2,349.35530135932436,335.24835004936904,67.96358182698357,227.43070009164512,645.6969999708235
