Subject,Mean,Median,Standard Deviation,Minimum,Maximum
Jul_13,352.0919323421073,338.638799963519,73.98173597013374,211.09939995221794,654.5537000056356
X02299,324.3697603062099,315.45080011710525,61.435489367181646,208.38460000231862,648.7628999166191
X03004,352.0919323421073,338.638799963519,73.98173597013374,211.09939995221794,654.5537000056356
X05398,332.54404883434296,318.3683000970632,76.32587927018491,205.65360016189516,660.5163000058383
X13844,537.7242993494934,533.872100058943,79.63315068154655,330.0124001689255,696.9979000277817
x24208,437.9679000012402,437.9679000012402,15.485899999475805,422.4820000017644,453.453800000716
X24208,nan,nan,nan,nan,nan
X33332,475.26313093609826,466.9323000125587,76.89154649089949,323.8048000494018,680.5942000355572
X37945,430.79004988664076,420.8477000001949,96.84734724776862,212.67409999927622,683.1488000007084
X38547,408.0847057149738,401.16949984803796,94.2406026228102,218.17749994806945,688.5480999480933
X42448,422.8940767441684,408.9065000002847,82.00836994555252,274.2798999997831,678.238599999986
X44909,487.09722059826834,468.6088999733329,93.91259891492298,302.27230000309646,694.3307999754325
X48739,371.8571419006447,362.15959989931434,80.3668973214956,220.51270003430545,673.6971999052912
X51231,495.2361329017183,478.3528000116348,102.94545094485143,281.8547999486327,698.3304000459611
X55579,371.85684023533696,361.5236999994522,63.1456341100889,248.4268999996857,650.2878999999666
X58086,411.89597803948834,407.59979997528717,80.97620088778005,280.6153000565246,659.1283000307158
X61122,393.9204626238077,378.1561499927193,85.50310245593757,246.3302998803556,661.8780000135303
X64181,334.9091901670759,321.1005001794547,72.16155870828466,205.12339984998107,659.0927997604012
X70786,388.51764502905,374.29840001277626,91.39081026337993,203.15980003215373,697.5430999882519
X72350,400.176372004446,390.17824991606176,85.65881353541099,231.12690006382763,698.6811999231577
X85446,409.63422406154376,397.590950015001,82.72056343894883,210.0884998217225,688.3491999469697
X86768,333.71702151693296,321.9712000573054,68.67681453565248,218.5324999736622,624.8996000504121
X87678,326.7505119123714,311.7043999955058,75.58447109512026,205.9542000060901,630.4399999789894
X91583,346.9643983694855,349.2289999849163,92.87158692172876,202.86329998634756,659.7126999404281
X98504,345.90591385111134,332.1633997838944,64.77746097513841,218.78540003672242,645.6969999708235
